Experiment Project Name,Dependency Name
H6060-Java-JacksonDatabind,com.fasterxml.jackson.core:jackson-annotations@2.9.10
H6060-Java-JacksonDatabind,com.fasterxml.jackson.core:jackson-core@2.9.10
H6060-Java-JacksonDatabind,javax.measure:jsr-275@0.9.1
H6060-Java-JacksonDatabind,junit:junit@4.12
H6060-Java-JacksonDatabind,org.powermock:powermock-api-mockito@1.7.4
H6060-Java-JacksonDatabind,org.powermock:powermock-module-junit4@1.7.4
H6060-Java-Logback,ch.qos.logback:logback-core@1.3.13
H6060-Java-Logback,javax.activation:javax.activation-api@1.2.0
H6060-Java-Logback,javax.mail:javax.mail-api@1.6.2
H6060-Java-Logback,javax.servlet:javax.servlet-api@4.0.1
H6060-Java-Logback,org.apache.tomcat:tomcat-catalina@9.0.65
H6060-Java-Logback,org.apache.tomcat:tomcat-coyote@9.0.65
H6060-Java-Logback,org.assertj:assertj-core@3.23.1
H6060-Java-Logback,org.codehaus.janino:janino@3.1.8
H6060-Java-Logback,org.eclipse.jetty:jetty-server@9.4.48.v20220622
H6060-Java-Logback,org.hamcrest:hamcrest-library@2.2
H6060-Java-Logback,org.junit.jupiter:junit-jupiter-api@5.9.1
H6060-Java-Logback,org.junit.jupiter:junit-jupiter-engine@5.9.1
H6060-Java-Logback,org.junit.jupiter:junit-jupiter-params@5.9.1
H6060-Java-Logback,ch.qos.logback:logback-access@1.3.13
H6060-Java-Logback,ch.qos.logback:logback-classic@1.3.13
H6060-Java-Logback,ch.qos.logback:logback-core@1.3.13
H6060-Java-Logback,ch.qos.reload4j:reload4j@1.2.18.4
H6060-Java-Logback,javax.servlet:javax.servlet-api@4.0.1
H6060-Java-Logback,org.assertj:assertj-core@3.23.1
H6060-Java-Logback,org.fusesource.jansi:jansi@2.3.4
H6060-Java-Logback,org.hamcrest:hamcrest-library@2.2
H6060-Java-Logback,org.junit.jupiter:junit-jupiter-api@5.9.1
H6060-Java-Logback,org.junit.jupiter:junit-jupiter-engine@5.9.1
H6060-Java-Logback,org.slf4j:slf4j-ext@2.0.7
H6060-Java-Logback,ch.qos.logback:logback-core@1.3.13
H6060-Java-Logback,ch.qos.reload4j:reload4j@1.2.18.4
H6060-Java-Logback,com.fasterxml.jackson.core:jackson-databind@2.15.0
H6060-Java-Logback,com.sun.mail:javax.mail@1.6.2
H6060-Java-Logback,javax.mail:javax.mail-api@1.6.2
H6060-Java-Logback,javax.servlet:javax.servlet-api@4.0.1
H6060-Java-Logback,org.apache.felix:org.apache.felix.main@5.6.10
H6060-Java-Logback,org.assertj:assertj-core@3.23.1
H6060-Java-Logback,org.codehaus.janino:janino@3.1.8
H6060-Java-Logback,org.dom4j:dom4j@2.0.3
H6060-Java-Logback,org.hamcrest:hamcrest-library@2.2
H6060-Java-Logback,org.junit.jupiter:junit-jupiter-api@5.9.1
H6060-Java-Logback,org.junit.jupiter:junit-jupiter-engine@5.9.1
H6060-Java-Logback,org.mockito:mockito-core@4.8.0
H6060-Java-Logback,org.slf4j:jul-to-slf4j@2.0.7
H6060-Java-Logback,org.slf4j:log4j-over-slf4j@2.0.7
H6060-Java-Logback,org.slf4j:slf4j-api@2.0.7
H6060-Java-Logback,ch.qos.logback:logback-classic@1.3.13
H6060-Java-Logback,com.icegreen:greenmail@1.5.14
H6060-Java-Logback,com.sun.mail:javax.mail@1.6.2
H6060-Java-Logback,org.assertj:assertj-core@3.23.1
H6060-Java-Logback,org.codehaus.janino:janino@3.1.8
H6060-Java-Logback,org.dom4j:dom4j@2.0.3
H6060-Java-Logback,org.hamcrest:hamcrest-library@2.2
H6060-Java-Logback,org.junit.jupiter:junit-jupiter-api@5.9.1
H6060-Java-Logback,org.junit.jupiter:junit-jupiter-engine@5.9.1
H6060-Java-Logback,ch.qos.logback:logback-core@1.3.13
H6060-Java-Logback,org.assertj:assertj-core@3.23.1
H6060-Java-Logback,org.codehaus.janino:janino@3.1.8
